Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
155,45,95,1198,False,3.7,0,5/8/2025 9:01:30 AM,False,0,1,86,9.8,3456,,3.7,0,5/8/2025 9:59:01 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
156,45,95,118,False,3.7,0,5/8/2025 11:56:09 AM,False,0,1,86,8.7,3312,,3.7,0,5/8/2025 12:51:16 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
157,45,95,4117,False,4,0,5/11/2025 9:27:27 AM,False,0,1,86,27.1,2645,,4,5,5/11/2025 10:11:27 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
158,45,95,1395,False,4,0,5/12/2025 9:25:20 AM,False,0,1,86,19.1,3742,,4,3,5/12/2025 10:27:37 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
159,45,95,100,False,4,2,5/12/2025 12:07:01 PM,False,0,1,86,17.7,3805,,4,5,5/12/2025 1:10:21 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
160,45,95,1243,False,4,0,5/13/2025 9:53:07 AM,False,0,1,86,6.6,2904,,4,0,5/13/2025 10:41:26 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
161,45,95,88,False,4,0,5/13/2025 12:08:18 PM,False,0,1,86,8.400001,4114,,4,0,5/13/2025 1:16:47 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
162,45,95,1237,False,4,0,5/14/2025 9:53:10 AM,False,0,1,86,15.8,3425,,4,1,5/14/2025 10:50:10 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
163,45,95,77,False,4,0,5/14/2025 12:06:33 PM,False,0,1,86,19,4033,,4,5,5/14/2025 1:13:41 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
164,45,95,1227,False,4,0,5/15/2025 9:40:19 AM,False,0,1,86,21.9,3757,,4,6,5/15/2025 10:42:51 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
165,45,95,10982,False,3.9,0,5/23/2025 1:43:35 AM,False,0,1,86,11,3389,,3.9,0,5/23/2025 2:39:59 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
166,45,95,142,False,3.9,0,5/23/2025 5:01:40 AM,False,0,1,86,11.5,2281,,3.9,0,5/23/2025 5:39:36 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1017,1017,Peregrine
167,45,95,1347,False,3.9,0,5/23/2025 1:03:20 PM,False,0,1,86,9,3058,,3.9,0,5/23/2025 1:54:13 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1018,1018,Peregrine
168,45,95,9840,False,3.9,0,5/30/2025 9:53:42 AM,False,0,1,86,16.5,3066,,3.9,1,5/30/2025 10:44:43 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
169,45,95,4,False,3.9,1,5/30/2025 10:47:45 AM,False,0,1,86,7.9,673,,3.9,1,5/30/2025 10:58:53 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
170,45,95,2,False,3.9,1,5/30/2025 11:00:06 AM,False,0,1,86,3.9,176,,3.9,1,5/30/2025 11:02:57 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
171,45,95,1379,False,3.9,0,5/31/2025 10:01:39 AM,False,0,1,86,13.4,3482,,3.9,0,5/31/2025 10:59:36 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
172,45,95,4329,False,3.9,0,6/3/2025 11:08:04 AM,False,0,1,86,11,2828,,3.9,0,6/3/2025 11:55:07 AM,False,0,1,984FCD68,86,2,13,GF,45/95,771,771,Peregrine
